S. No.,Name,Desc,Gender
1,Aachman ,intake of a sip of water before a yagya or puja,M
2,Aadesh ,command; message ,M
3,Aadi,first; most important,M
4,Aafreen ,encouragement ,M
5,Aakar ,shape ,M
6,Aakash ,the sky ,M
7,Aalap ,musical ,M
8,Aandaleeb ,The Bulbul bird ,M
9,Aashish ,blessings ,M
10,Abeer ,color ,M
11,Abhay,fearless,M
12,Abhayananda ,delighting in fearless,M
13,Abhayaprada ,"bestower of safety, another name for Vishnu",M
14,Abheek ,fearless ,M
15,Abhi ,fearless,M
16,Abhibhava ,"overpowering, powerful, victorious ",M
17,Abhicandra ,"with a moon like face, one of the seven Manus of the Svetambara jain sect",M
18,Abhidi ,radiant,M
19,Abhihita ,"expression, word, name ",M
20,Abhijat,"noble, wise",M
21,Abhijaya ,"conquest, complete victory",M
22,Abhijit,one who is victorious (Abhijeet),M
23,Abhijvala ,blazing forth ,M
24,Abhilash ,desire ,M
25,Abhimand ,gladdening,M
26,Abhimani ,"full of pride, another name for Agni as the eldest son of Brahma ",M
27,Abhimanyu ,"Arjuna's son, heroic, with self-respect",M
28,Abhimanyusuta ,son or Abhimanyu,M
29,Abhimoda ,"joy, delight",M
30,Abhinabhas ,"renowned, famous ",M
31,Abhinanda ,"to rejoice, to celebrate, to praise, to bless, delight",M
32,Abhinandana,"felicitous, delighting, welcoming",M
33,Abhinatha,"lord of desires, another name for kama",M
34,Abhinav,quite new,M
35,Abhinava ,"new, young, fresh, modern, a sakta notable for his great leaning and spiritual attainment ",M
36,Abhirup ,pleasing ,M
37,Abhishek,shower of milk/water over an idol,M
38,Abhisoka ,"passionate, loving ",M
39,Abhisumat ,"radiant, another name of sun ",M
40,Abhisyanta ,"splendid, a son of Kuru and Vahini ",M
41,Abhivira ,"surrounded by heroes, a commander",M
42,Abhra ,cloud ,M
43,Abhrakasin ,"with clouds for shelter, an ascetic ",M
44,Abhyagni ,"towards the fire, a son of Aitasa ",M
45,Abhyudaya ,"sunrise, elevation, increase, prosperity ",M
46,Abhyudita ,"elevated, risen, prosperous",M
47,Abjayoni ,"born of the lotus, another name for Brahma ",M
48,Abjit ,conquering water ,M
49,Acalapati ,"lord of the immovable, lord of mountain ",M
50,Acalendra ,"lord of the immovable, the Himalayas ",M
51,Acalesvara ,"god of the immovable, another name for Shiva ",M
52,Acanda ,"not of the hot temper, without anger, gentle",M
53,Acarya ,"teacher, another name for Drona, Asvaghosa and krpa ",M
54,Acaryanandana ,"son of the teacher, another name for Asvatthaman",M
55,Acaryasuta ,"son of the teacher, another name for Asvatthaman",M
56,Acaryatanaya ,"son of the teacher, another name for Asvatthaman",M
57,Acchindra ,"flawless, uninterrupted, perfect ",M
58,Achal ,constant ,M
59,Achintya,beyond comprehension,M
60,Achyut ,imperishable; a name of Vishnu ,M
61,Achyuta,indestructible,M
62,Acintya ,"surpassing thought, incogitable",M
63,Acyutaraya ,"worshipper of the infallible, a devotee of Vishnu ",M
64,Adalarasu ,king of dance ,M
65,Adarsh ,ideal ,M
66,Adesh ,command ,M
67,Adhik ,greater ,M
68,Adhikara ,"principal, controller ",M
69,Adhipa ,"king, ruler ",M
70,Adhita ,a scholar,M
71,Adikavi ,first poet ,M
72,Adil ,sincere; just ,M
73,Adinath ,the first lord; Lord Vishnu ,M
74,Adit ,from the beginning ,M
75,Aditeya ,another name for the sun ,M
76,Aditya,sun,M
77,Adityanandana ,son of the sun,M
78,Adityavardhana,augmented by glory ,M
79,Adripathi ,master of the mountains ,M
80,Adwaita ,non-duality ,M
81,Adway ,one; united ,M
82,Adwaya ,unique ,M
83,"Aftab,Aftaab ",the sun ,M
84,"Agasti, Agastya ",name of a sage ,M
85,Agendra ,king of mountains ,M
86,Agha ,pre-eminent ,M
87,Agharna ,the moon ,M
88,Aghat ,destroyer of sin ,M
89,Agneya ,son of agni ,M
90,Agnikumara ,son of agni ,M
91,Agniprava ,bright as the fire ,M
92,Agrim ,leader; first ,M
93,Agriya ,first best ,M
94,Ahijit ,conquerer of the serpent ,M
95,Ahilan ,"knowledgeable, commanding ",M
96,Ahmad ,"praiseworthy, commendable ",M
97,Ahsan ,mercy ,M
98,Aijaz ,favour ,M
99,Aiman ,fearless ,M
100,Ainesh ,the sun's glory ,M
101,Ajamil ,a mythological king ,M
102,Ajatashatru,without enemies,M
103,Ajay,"unconquerable, invincible",M
104,Ajinkya ,invincible,M
105,Ajit,unconquerable (Ajeet),M
106,Ajitabh,one who has conquered the sky,M
107,Ajitesh ,Vishnu ,M
108,Ajmal ,pious ,M
109,Akalmash ,stainless,M
110,Akalpa ,ornament,M
111,Akash,sky,M
112,Akhil ,complete ,M
113,Akhilesh,"indestructible, immortal",M
114,Akmal ,complete ,M
115,Akram ,excellent,M
116,Akroor ,kind ,M
117,Akshan ,eye ,M
118,Akshar ,imperishable ,M
119,Akshat,uninjurable,M
120,Akshath ,indestructible ,M
121,Akshay ,indestructible ,M
122,Akshit ,permanent ,M
123,Akul ,a name of Lord Shiva ,M
124,Alagan ,handsome ,M
125,Alagarasu ,"handsome king, King of beauty ",M
126,"Alam, Aalam ",the whole world ,M
127,Alamgir ,the lord of the whole world ,M
128,Alhad ,joy ,M
129,Alok,cry of victory,M
130,Aloke ,light ,M
131,Amal,"bright, clean, pure",M
132,Amalendu ,the unblemished moon ,M
133,Amalesh ,the pure one ,M
134,Amanath ,treasure ,M
135,Amanda ,active ,M
136,Amar,"forever, immortal",M
137,Amartya ,"immortal, Amber of the sky ",M
138,Ambar,sky,M
139,Ambarish ,the sky ,M
140,Ambuj ,lotus ,M
141,Ameya,"boundless, magnanimous",M
142,Amil ,invaluable ,M
143,Amish,honest,M
144,Amit,"endless, boundless",M
145,Amitabh,one with boundless splendour,M
146,"Amitabha, Amitav ",limitless lustre; name of Lord Buddha,M
147,Amitava,same as Amitabh,M
148,Amitbikram ,limitless prowess ,M
149,Amitesh,infinite god,M
150,Amitiyoti ,limitless brightness ,M
151,Amitrasudan ,destroyer of enemies ,M
152,Amiya ,nectar; delight Amlan unfading; everbright ,M
153,Amlankusum ,unfading flower ,M
154,Ammar ,the maker ,M
155,Amod ,pleasure ,M
156,Amogh,unerring,M
157,Amoha ,"clear, straight ",M
158,Amol,"priceless, valuable",M
159,"Amolik, Amolak ",priceless ,M
160,Amrit,nectar,M
161,"Amrit, Amrik ",nectar ,M
162,Amulya,priceless,M
163,Anadi ,eternal Anal fire ,M
164,Anamitra ,the usn,M
165,Anand,bliss,M
166,"Ananda, Anand ",joy; happiness ,M
167,"Ananga, Anang ",name of Cupid or Kamadeva ,M
168,Ananmaya ,one who cannot be broken ,M
169,Anant,infinite,M
170,"Ananta, Anant ",infinite ,M
171,Anantram,eternal god,M
172,Anarghya ,priceless ,M
173,Anbarasu ,king of love ,M
174,Anbu ,"love, kindness ",M
175,Anbuchelvan ,"kind, king of love ",M
176,Anbumadi ,kind and intelligent ,M
177,Angad ,an ornament ,M
178,Angada,"bracelet, brother of Wali and Sugreev",M
179,Angamuthu ,made of pearls ,M
180,Anil,god of wind,M
181,"Animish, Animesh ",open-eyed therefore attractive ,M
182,Anirudhha,cooperative,M
183,Anirvan ,undying ,M
184,Anisa ,Supreme ,M
185,Anish,supreme,M
186,Aniteja ,Immeasurable splendour ,M
187,Anjasa ,"guileless, deceitless ",M
188,Anjum ,a token ,M
189,Anjuman ,a token; a symbol ,M
190,Ankit,conquered,M
191,Ankur,sprout,M
192,Ankush ,check; an instrument used for guiding elephants ,M
193,Anmol ,priceless ,M
194,Anoop,"incomparable, the best",M
195,Anshu ,the sun ,M
196,Anshul,radiant,M
197,Anshuman,Sun,M
198,Anshumat ,luminous ,M
199,Anu ,an atom ,M
200,Anugya ,authority ,M
201,Anuha ,satisfied ,M
202,Anuj ,younger brother ,M
203,Anunay ,supplication; consolation ,M
204,"Anup, Anoop ",without comparison ,M
205,Anupam,incomparable,M
206,Anurag,"attachment, devotion, love",M
207,"Anurag, Anuraag ",love ,M
208,Anuttam ,unsurpassed ,M
209,Anwar ,devote of God ,M
210,Apoorva,quite new,M
211,Apparajito ,undefeated ,M
212,"Apurva, Apoorva ",unique ,M
213,Arav ,peaceful ,M
214,Aravali ,righteous ,M
215,Aravan ,righteous ,M
216,Archan ,worship ,M
