Cusomer_Id,Channel,Distance_from_Store,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Gender
1,2,less than 2 Km,12669,9656,7561,214,2674,1338,M
2,2,less than 2 Km,7057,9810,9568,1762,3293,1776,M
3,2,less than 2 Km,6353,8808,7684,2405,3516,7844,M
4,1,less than 2 Km,13265,1196,4221,6404,507,1788,M
5,2,less than 2 Km,22615,5410,7198,3915,1777,5185,M
6,2,less than 2 Km,9413,8259,5126,666,1795,1451,M
7,2,less than 2 Km,12126,3199,6975,480,3140,545,F
8,2,less than 2 Km,7579,4956,9426,1669,3321,2566,F
9,1,less than 2 Km,5963,3648,6192,425,1716,750,F
10,2,less than 2 Km,6006,11093,18881,1159,7425,2098,F
11,2,less than 2 Km,3366,5403,12974,4400,5977,1744,F
12,2,less than 2 Km,13146,1124,4523,1420,549,497,F
13,2,less than 2 Km,31714,12319,11757,287,3881,2931,F
14,2,less than 2 Km,21217,6208,14982,3095,6707,602,F
15,2,less than 2 Km,24653,9465,12091,294,5058,2168,F
16,1,less than 2 Km,10253,1114,3821,397,964,412,F
17,2,less than 2 Km,1020,8816,12121,134,4508,1080,F
18,1,less than 2 Km,5876,6157,2933,839,370,4478,F
19,2,less than 2 Km,18601,6327,10099,2205,2767,3181,F
20,1,less than 2 Km,7780,2495,9464,669,2518,501,F
21,2,less than 2 Km,17546,4519,4602,1066,2259,2124,F
22,1,less than 2 Km,5567,871,2010,3383,375,569,F
23,1,less than 2 Km,31276,1917,4469,9408,2381,4334,M
24,2,less than 2 Km,26373,36423,22019,5154,4337,16523,M
25,2,less than 2 Km,22647,9776,13792,2915,4482,5778,M
26,2,less than 2 Km,16165,4230,7595,201,4003,57,M
27,1,less than 2 Km,9898,961,2861,3151,242,833,M
28,1,less than 2 Km,14276,803,3045,485,100,518,M
29,2,less than 2 Km,4113,20484,25957,1158,8604,5206,M
30,1,less than 2 Km,43088,2100,2609,1200,1107,823,M
31,1,less than 2 Km,18815,3610,11107,1148,2134,2963,M
32,1,less than 2 Km,2612,4339,3133,2088,820,985,M
33,1,less than 2 Km,21632,1318,2886,266,918,405,M
34,1,less than 2 Km,29729,4786,7326,6130,361,1083,M
35,1,less than 2 Km,1502,1979,2262,425,483,395,M
36,2,less than 2 Km,688,5491,11091,833,4239,436,M
37,1,less than 2 Km,29955,4362,5428,1729,862,4626,M
38,2,less than 2 Km,15168,10556,12477,1920,6506,714,M
39,2,less than 2 Km,4591,15729,16709,33,6956,433,M
40,1,less than 2 Km,56159,555,902,10002,212,2916,M
41,1,less than 2 Km,24025,4332,4757,9510,1145,5864,M
42,1,less than 2 Km,19176,3065,5956,2033,2575,2802,M
43,2,less than 2 Km,10850,7555,14961,188,6899,46,M
44,2,less than 2 Km,630,11095,23998,787,9529,72,M
45,2,less than 2 Km,9670,7027,10471,541,4618,65,M
46,2,less than 2 Km,5181,22044,21531,1740,7353,4985,M
47,2,less than 2 Km,3103,14069,21955,1668,6792,1452,M
48,2,less than 2 Km,44466,54259,55571,7782,24171,6465,M
49,2,less than 2 Km,11519,6152,10868,584,5121,1476,M
50,2,less than 2 Km,4967,21412,28921,1798,13583,1163,M
51,1,less than 2 Km,6269,1095,1980,3860,609,2162,M
52,1,less than 2 Km,3347,4051,6996,239,1538,301,M
53,2,less than 2 Km,40721,3916,5876,532,2587,1278,M
54,2,less than 2 Km,491,10473,11532,744,5611,224,M
55,1,less than 2 Km,27329,1449,1947,2436,204,1333,M
56,1,less than 2 Km,5264,3683,5005,1057,2024,1130,M
57,2,less than 2 Km,4098,29892,26866,2616,17740,1340,M
58,2,less than 2 Km,5417,9933,10487,38,7572,1282,M
59,1,less than 2 Km,13779,1970,1648,596,227,436,M
60,1,less than 2 Km,6137,5360,8040,129,3084,1603,M
61,2,less than 2 Km,8590,3045,7854,96,4095,225,M
62,2,less than 2 Km,35942,38369,59598,3254,26701,2017,M
63,2,less than 2 Km,7823,6245,6544,4154,4074,964,M
64,2,less than 2 Km,9396,11601,15775,2896,7677,1295,M
65,1,less than 2 Km,4760,1227,3250,3724,1247,1145,M
66,2,less than 2 Km,85,20959,45828,36,24231,1423,M
67,1,less than 2 Km,9,1534,7417,175,3468,27,M
68,2,less than 2 Km,19913,6759,13462,1256,5141,834,M
69,1,less than 2 Km,2446,7260,3993,5870,788,3095,M
70,1,less than 2 Km,8352,2820,1293,779,656,144,M
71,1,less than 2 Km,16705,2037,3202,10643,116,1365,M
72,1,less than 2 Km,18291,1266,21042,5373,4173,14472,M
73,1,less than 2 Km,4420,5139,2661,8872,1321,181,M
74,2,less than 2 Km,19899,5332,8713,8132,764,648,M
75,2,less than 2 Km,8190,6343,9794,1285,1901,1780,M
76,1,less than 2 Km,20398,1137,3,4407,3,975,M
77,1,less than 2 Km,717,3587,6532,7530,529,894,M
78,2,less than 2 Km,12205,12697,28540,869,12034,1009,M
79,1,less than 2 Km,10766,1175,2067,2096,301,167,M
80,1,less than 2 Km,1640,3259,3655,868,1202,1653,M
81,1,less than 2 Km,7005,829,3009,430,610,529,M
82,2,less than 2 Km,219,9540,14403,283,7818,156,M
83,2,less than 2 Km,10362,9232,11009,737,3537,2342,M
84,1,less than 2 Km,20874,1563,1783,2320,550,772,M
85,2,less than 2 Km,11867,3327,4814,1178,3837,120,M
86,2,less than 2 Km,16117,46197,92780,1026,40827,2944,M
87,2,less than 2 Km,22925,73498,32114,987,20070,903,M
88,1,less than 2 Km,43265,5025,8117,6312,1579,14351,M
89,1,less than 2 Km,7864,542,4042,9735,165,46,M
90,1,less than 2 Km,24904,3836,5330,3443,454,3178,M
91,1,less than 2 Km,11405,596,1638,3347,69,360,M
92,1,less than 2 Km,12754,2762,2530,8693,627,1117,M
93,2,less than 2 Km,9198,27472,32034,3232,18906,5130,M
94,1,less than 2 Km,11314,3090,2062,35009,71,2698,M
95,2,less than 2 Km,5626,12220,11323,206,5038,244,M
96,1,less than 2 Km,3,2920,6252,440,223,709,M
97,2,less than 2 Km,23,2616,8118,145,3874,217,M
98,1,less than 2 Km,403,254,610,774,54,63,M
99,1,less than 2 Km,503,112,778,895,56,132,M
100,1,less than 2 Km,9658,2182,1909,5639,215,323,M
101,2,less than 2 Km,11594,7779,12144,3252,8035,3029,M
102,2,less than 2 Km,1420,10810,16267,1593,6766,1838,M
103,2,less than 2 Km,2932,6459,7677,2561,4573,1386,M
104,1,less than 2 Km,56082,3504,8906,18028,1480,2498,M
105,1,less than 2 Km,14100,2132,3445,1336,1491,548,M
106,1,less than 2 Km,15587,1014,3970,910,139,1378,M
107,2,less than 2 Km,1454,6337,10704,133,6830,1831,M
108,2,less than 2 Km,8797,10646,14886,2471,8969,1438,M
109,2,less than 2 Km,1531,8397,6981,247,2505,1236,M
110,2,less than 2 Km,1406,16729,28986,673,836,3,M
111,1,less than 2 Km,11818,1648,1694,2276,169,1647,M
112,2,less than 2 Km,12579,11114,17569,805,6457,1519,M
113,1,less than 2 Km,19046,2770,2469,8853,483,2708,M
114,1,less than 2 Km,14438,2295,1733,3220,585,1561,M
115,1,less than 2 Km,18044,1080,2000,2555,118,1266,M
116,1,less than 2 Km,11134,793,2988,2715,276,610,F
117,1,less than 2 Km,11173,2521,3355,1517,310,222,M
118,1,less than 2 Km,6990,3880,5380,1647,319,1160,M
119,1,less than 2 Km,20049,1891,2362,5343,411,933,F
120,1,less than 2 Km,8258,2344,2147,3896,266,635,M
121,1,less than 2 Km,17160,1200,3412,2417,174,1136,M
122,1,less than 2 Km,4020,3234,1498,2395,264,255,M
123,1,less than 2 Km,12212,201,245,1991,25,860,F
124,2,less than 2 Km,11170,10769,8814,2194,1976,143,M
125,1,less than 2 Km,36050,1642,2961,4787,500,1621,M
126,1,less than 2 Km,76237,3473,7102,16538,778,918,F
127,1,less than 2 Km,19219,1840,1658,8195,349,483,M
128,2,less than 2 Km,21465,7243,10685,880,2386,2749,M
129,1,less than 2 Km,140,8847,3823,142,1062,3,M
130,1,less than 2 Km,42312,926,1510,1718,410,1819,F
131,1,less than 2 Km,7149,2428,699,6316,395,911,M
132,1,less than 2 Km,2101,589,314,346,70,310,M
133,1,less than 2 Km,14903,2032,2479,576,955,328,F
134,1,less than 2 Km,9434,1042,1235,436,256,396,M
135,1,less than 2 Km,7388,1882,2174,720,47,537,M
136,1,less than 2 Km,6300,1289,2591,1170,199,326,M
137,1,less than 2 Km,4625,8579,7030,4575,2447,1542,F
138,1,less than 2 Km,3087,8080,8282,661,721,36,M
139,1,less than 2 Km,13537,4257,5034,155,249,3271,M
140,1,less than 2 Km,5387,4979,3343,825,637,929,F
141,1,less than 2 Km,17623,4280,7305,2279,960,2616,M
142,1,less than 2 Km,30379,13252,5189,321,51,1450,M
143,1,less than 2 Km,37036,7152,8253,2995,20,3,M
144,1,less than 2 Km,10405,1596,1096,8425,399,318,F
145,1,less than 2 Km,18827,3677,1988,118,516,201,M
146,2,less than 2 Km,22039,8384,34792,42,12591,4430,M
147,1,less than 2 Km,7769,1936,2177,926,73,520,F
148,1,less than 2 Km,9203,3373,2707,1286,1082,526,M
149,1,less than 2 Km,5924,584,542,4052,283,434,M
150,1,less than 2 Km,31812,1433,1651,800,113,1440,F
151,1,less than 2 Km,16225,1825,1765,853,170,1067,M
152,1,less than 2 Km,1289,3328,2022,531,255,1774,M
153,1,less than 2 Km,18840,1371,3135,3001,352,184,F
154,1,less than 2 Km,3463,9250,2368,779,302,1627,M
155,1,less than 2 Km,622,55,137,75,7,8,M
156,2,less than 2 Km,1989,10690,19460,233,11577,2153,M
157,2,less than 2 Km,3830,5291,14855,317,6694,3182,F
158,1,less than 2 Km,17773,1366,2474,3378,811,418,M
159,2,less than 2 Km,2861,6570,9618,930,4004,1682,M
160,2,less than 2 Km,355,7704,14682,398,8077,303,F
161,2,less than 2 Km,1725,3651,12822,824,4424,2157,M
162,1,less than 2 Km,12434,540,283,1092,3,2233,M
163,1,less than 2 Km,15177,2024,3810,2665,232,610,M
164,2,less than 2 Km,5531,15726,26870,2367,13726,446,F
165,2,less than 2 Km,5224,7603,8584,2540,3674,238,M
166,2,less than 2 Km,15615,12653,19858,4425,7108,2379,M
167,2,less than 2 Km,4822,6721,9170,993,4973,3637,F
168,1,less than 2 Km,2926,3195,3268,405,1680,693,M
169,1,less than 2 Km,5809,735,803,1393,79,429,M
170,1,less than 2 Km,5414,717,2155,2399,69,750,M
171,2,less than 2 Km,260,8675,13430,1116,7015,323,F
172,2,less than 2 Km,200,25862,19816,651,8773,6250,M
173,1,less than 2 Km,955,5479,6536,333,2840,707,M
174,2,less than 2 Km,514,7677,19805,937,9836,716,F
175,1,less than 2 Km,286,1208,5241,2515,153,1442,M
176,2,less than 2 Km,2343,7845,11874,52,4196,1697,M
177,1,less than 2 Km,45640,6958,6536,7368,1532,230,M
178,1,less than 2 Km,12759,7330,4533,1752,20,2631,F
179,1,less than 2 Km,11002,7075,4945,1152,120,395,M
180,1,less than 2 Km,3157,4888,2500,4477,273,2165,M
181,1,less than 2 Km,12356,6036,8887,402,1382,2794,F
182,1,less than 2 Km,112151,29627,18148,16745,4948,8550,M
183,1,less than 2 Km,694,8533,10518,443,6907,156,M
184,1,less than 2 Km,36847,43950,20170,36534,239,47943,F
185,1,less than 2 Km,327,918,4710,74,334,11,M
186,1,less than 2 Km,8170,6448,1139,2181,58,247,M
187,1,less than 2 Km,3009,521,854,3470,949,727,F
188,1,less than 2 Km,2438,8002,9819,6269,3459,3,M
189,2,less than 2 Km,8040,7639,11687,2758,6839,404,M
190,2,less than 2 Km,834,11577,11522,275,4027,1856,M
191,1,less than 2 Km,16936,6250,1981,7332,118,64,F
192,1,less than 2 Km,13624,295,1381,890,43,84,M
193,1,less than 2 Km,5509,1461,2251,547,187,409,M
194,2,less than 2 Km,180,3485,20292,959,5618,666,F
195,1,less than 2 Km,7107,1012,2974,806,355,1142,M
196,1,less than 2 Km,17023,5139,5230,7888,330,1755,M
197,1,more than 2 Km,30624,7209,4897,18711,763,2876,M
198,2,more than 2 Km,2427,7097,10391,1127,4314,1468,F
199,1,more than 2 Km,11686,2154,6824,3527,592,697,M
200,1,more than 2 Km,9670,2280,2112,520,402,347,M
201,2,more than 2 Km,3067,13240,23127,3941,9959,731,F
202,2,more than 2 Km,4484,14399,24708,3549,14235,1681,M
203,1,more than 2 Km,25203,11487,9490,5065,284,6854,M
204,1,more than 2 Km,583,685,2216,469,954,18,M
205,1,more than 2 Km,1956,891,5226,1383,5,1328,F
206,2,more than 2 Km,1107,11711,23596,955,9265,710,M
207,1,more than 2 Km,6373,780,950,878,288,285,M
208,2,more than 2 Km,2541,4737,6089,2946,5316,120,F
209,1,more than 2 Km,1537,3748,5838,1859,3381,806,M
210,2,more than 2 Km,5550,12729,16767,864,12420,797,M
211,1,more than 2 Km,18567,1895,1393,1801,244,2100,M
212,2,more than 2 Km,12119,28326,39694,4736,19410,2870,F
213,1,more than 2 Km,7291,1012,2062,1291,240,1775,M
214,1,more than 2 Km,3317,6602,6861,1329,3961,1215,M
215,2,more than 2 Km,2362,6551,11364,913,5957,791,F
216,1,more than 2 Km,2806,10765,15538,1374,5828,2388,M
217,2,more than 2 Km,2532,16599,36486,179,13308,674,M
218,1,more than 2 Km,18044,1475,2046,2532,130,1158,F
219,2,more than 2 Km,18,7504,15205,1285,4797,6372,M
220,1,more than 2 Km,4155,367,1390,2306,86,130,M
221,1,more than 2 Km,14755,899,1382,1765,56,749,F
222,1,more than 2 Km,5396,7503,10646,91,4167,239,M
223,1,more than 2 Km,5041,1115,2856,7496,256,375,M
224,2,more than 2 Km,2790,2527,5265,5612,788,1360,M
225,1,more than 2 Km,7274,659,1499,784,70,659,F
226,1,more than 2 Km,12680,3243,4157,660,761,786,M
227,2,more than 2 Km,20782,5921,9212,1759,2568,1553,M
228,1,more than 2 Km,4042,2204,1563,2286,263,689,F
229,1,more than 2 Km,1869,577,572,950,4762,203,M
230,1,more than 2 Km,8656,2746,2501,6845,694,980,M
231,2,more than 2 Km,11072,5989,5615,8321,955,2137,M
232,1,more than 2 Km,2344,10678,3828,1439,1566,490,F
233,1,more than 2 Km,25962,1780,3838,638,284,834,M
234,1,more than 2 Km,964,4984,3316,937,409,7,M
235,1,more than 2 Km,15603,2703,3833,4260,325,2563,F
236,1,more than 2 Km,1838,6380,2824,1218,1216,295,M
237,1,more than 2 Km,8635,820,3047,2312,415,225,M
238,1,more than 2 Km,18692,3838,593,4634,28,1215,M
239,1,more than 2 Km,7363,475,585,1112,72,216,F
